Diahnne Abbott | 
Amy Acker | https://twitter.com/AmyAcker
Candice Accola | https://twitter.com/Candice_Accola
Amy Adams | 
Brooke Adams (actress) | 
Edie Adams | 
Jane Adams (actress) | 
Joey Lauren Adams | 
Julie Adams | 
Shohreh Aghdashloo | 
Dianna Agron | https://twitter.com/DiannaAgron
Christina Aguilera | 
Jessica Alba | 
Lola Albright | 
Jaimie Alexander | https://twitter.com/jaimiealexander
Jane Alexander | 
Khandi Alexander | 
Sasha Alexander | https://twitter.com/SashaAlexander1
Tatyana Ali | 
Debbie Allen | https://twitter.com/msdebbieallen
Elizabeth Allen (actress) | 
Joan Allen | 
Karen Allen | 
Krista Allen | 
Laura Allen | 
Nancy Allen (actress) | 
Kirstie Alley | http://twitter.com/KirstieAlley
June Allyson | 
Daniella Alonso | 
Trini Alvarado | 
Lauren Ambrose | 
Mädchen Amick | 
Suzy Amis | 
Eva Amurri | https://twitter.com/4evamartino
Andrea Anders | 
Gillian Anderson | https://twitter.com/GillianA
Loni Anderson | 
Melody Anderson | 
Nicole Anderson | https://twitter.com/HeyItsNicoleA
Jennifer Aniston | 
Odette Annable | https://twitter.com/OdetteAnnable
Susan Anton | 
Shiri Appleby | 
Christina Applegate | https://twitter.com/1capplegate
Anne Archer | 
Beverly Archer | 
Leila Arcieri | 
Eve Arden | 
Ashley Argota | 
Jillian Armenante | 
Bess Armstrong | 
Samaire Armstrong | 
Alexis Arquette | 
Patricia Arquette | 
Rosanna Arquette | 
Bea Arthur | 
Jean Arthur | 
Elizabeth Ashley | 
Mary Astor | 
Eden Atwood | https://twitter.com/@edenatwood
Margaret Avery | 
Nicki Aycox | 
Candice Azzara | 
Lauren Bacall | 
Barbara Bach | 
Catherine Bach | 
Mary Badham | 
Jane Badler | 
Pearl Bailey | 
Fay Bainter | 
Diora Baird | 
Carroll Baker | 
Kathy Baker | 
Leigh-Allyn Baker | https://twitter.com/L_A_Baker
Brenda Bakke | 
Fairuza Balk | 
Lucille Ball | 
Talia Balsam | 
Anne Bancroft | 
Tallulah Bankhead | 
Elizabeth Banks | https://twitter.com/ElizabethBanks
Tyra Banks | 
Christine Baranski | 
Adrienne Barbeau | 
Ellen Barkin | 
Priscilla Barnes | 
Majel Barrett | 
Barbara Barrie | 
Dana Barron | 
Drew Barrymore | 
Ethel Barrymore | 
Roseanne Barr | 
Mischa Barton | https://twitter.com/MischAmazing
Kim Basinger | 
Angela Bassett | 
Kathy Bates | 
Cyia Batten | 
Frances Bavier | 
Anne Baxter | 
Jennifer Beals | https://twitter.com/jenniferbeals
Amanda Bearse | 
Kimberly Beck | 
Bonnie Bedelia | 
Nicole Beharie | 
Catherine Bell (actress) | 
Kristen Bell | 
Lake Bell | http://twitter.com/lakebell
Camilla Belle | 
Kathleen Beller | 
Troian Bellisario | https://twitter.com/SleepintheGardn
Maria Bello | 
Andrea Bendewald | 
Annette Bening | 
